id,adresse,ort,plz,typ,min_vorlauf_temp,max_vorlauf_temp,source,primary_energy,Building ID,Creation Date,Country,postal_code,Function,Height (m),Storeys Above Ground,ground_surface,heated_area
d4847556-40f8-4940-b21d-3390fe2c2547,Hirschkamp 22,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7rg,2023-08-15,Deutschland,22846,31001_1010,16.928,3,220.38868800002734,1193.8367073486281
2b9a3bc7-252f-4a10-8ccb-5ccce53e896a,Kielort 14,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IVB,2023-08-15,Deutschland,22850,31001_1010,16.32,4,187.2184977512777,977.7298826562727
5c8f03f4-9165-43a2-8c42-1e813326934e,Kielort 16,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IWL,2023-08-15,Deutschland,22850,31001_1010,22.541,5,263.88911507215704,1903.4638537092776
8ff79953-ad51-40b5-a025-f24418cae4b1,Kielort 19,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3t,2023-08-15,Deutschland,22850,31001_1010,16.205,4,598.4688320002515,3103.419975220504
8f7b3862-a50d-44eb-8ac9-de0cf48a6bd2,Kielort 20,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3s,2023-08-15,Deutschland,22850,31001_1010,12.94,3,438.2124659925676,1814.5501791820238
d5fb4343-04d4-4521-8a4b-feaf772ff376,Kielort 21,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3F,2023-08-15,Deutschland,22850,31001_1010,16.05,4,399.6062390014117,2052.377643511251
44201958-2d6b-4952-956c-22ea951a6442,Kielort 22,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3D,2023-08-15,Deutschland,22850,31001_1010,12.895,3,430.71106650160397,1777.2861448122185
61470655-33c1-4717-b729-baa6658a6aeb,Kielort 23a,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3G,2023-08-15,Deutschland,22850,31001_1010,16.014,4,203.54148374942415,1043.0442626442489
edcafda6-fe6f-4ca3-bb3d-f0c5fbac8f4c,Kielort 24,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3E,2023-08-15,Deutschland,22850,31001_1010,12.979,3,429.94236600051613,1785.6710298626235
a9644794-439b-401c-b879-8c0225e16b99,Kielort 25,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I4g,2023-08-15,Deutschland,22850,31001_1010,16.087,4,429.0952444998356,2208.9136634460338
0c9ad311-b86f-4371-a695-512ca49c70a7,Kielortring 14,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IV1,2023-08-15,Deutschland,22850,31001_1010,16.42,4,751.7340239945055,3949.91125567673
7dd30c54-3be7-4a3c-b5e0-9841bb3ffddb,Kielortring 16,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IWe,2023-08-15,Deutschland,22850,31001_1010,16.569,4,752.6812624996987,3990.7762682744024
2f025f96-af2c-4140-b955-766a791fa925,Kielortring 22,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3u,2023-08-15,Deutschland,22850,31001_1010,15.993,4,601.4568680049503,3078.111900801014
4f36b3bd-337e-4b93-9333-c53a28d0c417,Kielortring 24,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3w,2023-08-15,Deutschland,22850,31001_1010,16.029,4,590.6164549958397,3029.437170281061
5e2fd59d-603a-488b-a525-513541039c4a,Kielortring 51,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I4G,2023-08-15,Deutschland,22850,31001_3063,8.487,1,723.9200009931908,1966.0508954973473
72013db2-014c-4c4f-8eee-ce179b77ba6f,Moorbekstraße 120,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z70H,2023-08-15,Deutschland,22846,31001_1010,12.532,4,234.56190199358505,940.6495218507546
1657f5b3-fad0-4685-b56c-d57982d5a35c,Moorbekstraße 15,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0004Vcfa,2023-08-15,Deutschland,22846,31001_3021,11.382,2,7052.559212514891,25687.11326619024
d00d6502-a08d-45df-99e3-7d8cd55200d1,Moorbekstraße 17,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7q2,2023-08-15,Deutschland,22846,31001_3022,13.257,2,3843.820727249118,16306.410041965299
42d6efdc-d590-40b7-af9a-90121d04d3a9,Moorbekstraße 19,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7q2,2023-08-15,Deutschland,22846,31001_3022,13.257,2,3843.820727249118,16306.410041965299
2a5d5a37-a843-4621-b20a-a0c1a5e42e49,Moorbekstraße 25,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z6ZZ,2023-08-15,Deutschland,22846,31001_1010,8.146,2,444.08647100116104,1157.6090856881467
c00c8cba-b6de-4c10-89c0-e923127acc4e,Moorbekstraße 29,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0007sekW,2023-08-15,Deutschland,22846,31001_1000,9.845,2,249.07430683371442,784.683696248934
7bdbc8ee-00fb-4795-99cb-c1739fc128ad,Moorbekstraße 31,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0007sekW,2023-08-15,Deutschland,22846,31001_1000,9.845,2,249.07430683371442,784.683696248934
fb5cc271-ae15-4f24-b9d5-30782bbc2089,Moorbekstraße 33,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0007sekW,2023-08-15,Deutschland,22846,31001_1000,9.845,2,249.07430683371442,784.683696248934
d566a120-d232-489a-aa42-850e5a44dbee,Moorbekstraße 39,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006Yd0h,2023-08-15,Deutschland,22846,31001_1010,10.975,2,304.8050557504705,1070.4753557956524
35d897c4-9486-41c1-be9b-0e1707d9fbef,Moorbekstraße 43-49,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006YcXF,2023-08-15,Deutschland,22846,31001_1000,9.212,2,1418.2020870019776,4180.6328401479095
f1c2b8a6-9833-4150-896c-20b054ce558f,Norderstraße 41,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7ih,2023-08-15,Deutschland,22846,31001_1010,6.812,2,178.1922280029735,388.4305462900018
4edd9f9b-22a0-4932-a815-60c9a222826d,Oadby-and-Wigston-Straße 175,Norderstedt,22844,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0008Bglp,2023-08-15,Deutschland,22846,31001_3066,10.879,2,683.8277919942487,2380.5960157137383
1a94c658-a524-4293-bb95-020c53beaabd,Röntgengang 14,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006Xqin,2023-08-15,Deutschland,22846,31001_1010,27.167,6,241.91085450042138,2103.0374989481434
c1469372-a3c4-4870-808c-8039cb927db8,Röntgengang 16,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0007aem1,2023-08-15,Deutschland,24635,31001_1010,11.636,3,303.14687299988304,1128.7734445525246
d20aea60-cca7-4d9e-b768-48edd962eb64,Segeberger Chaussee 104,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IVC,2023-08-15,Deutschland,22850,31001_1010,15.369,4,587.1433220002907,2887.6178290631897
561a9d67-5802-4a54-ae7d-0a782242e4b4,Segeberger Chaussee 104b,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IVC,2023-08-15,Deutschland,22850,31001_1010,15.369,4,195.71444066676358,962.5392763543966
b6b63b91-da14-449d-b213-e6ef5ca27e67,Segeberger Chaussee 132,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3x,2023-08-15,Deutschland,22850,31001_2120,4.305,1,421.96932449959314,581.3049414306395
a141529b-2b91-4c85-ae9f-907901ebeb19,Ulzburger Straße 457,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006FU8b,2023-08-15,Deutschland,22846,31001_1010,10.031,3,320.6536745005763,1029.27264285289
bc098a2e-0cc7-4f01-b6ad-9d647ae9f627,Ulzburger Straße 459 A,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006FU68,2023-08-15,Deutschland,22846,31001_1010,13.105,4,305.22219116560024,1279.9797808720612
8e9b1544-434e-44a7-8049-8f2e4b14a819,Ulzburger Straße 461,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006FU6t,2023-08-15,Deutschland,22846,31001_1010,13.537,4,326.5046147492222,1414.3657503552706
882f402f-daf8-4dfb-8af0-6fbd5d439e22,Waldstraße 63,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7iw,2023-08-15,Deutschland,22846,31001_1010,20.688,5,229.9716817981128,1522.4493289725942
82a01deb-7c9d-4e87-a79a-4693bd668282,Waldstraße 81,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7oL,2023-08-15,Deutschland,22846,31001_1010,27.079,6,269.7950567023877,2337.849708942066
